DELIVERY_DATE,GATE_OPEN_TIME,GATE_CLOSURE_TIME,ALLOCATION_DEADLINE,TYPE_OF_RESERVES,PRODUCT,TOTAL_DEMAND_[MW],measurement_name
2024-02-05,2024-02-04 09:18:51.867,2024-02-05 06:35:00,2024-02-05 06:50:00,aFRR,POS_029,1968,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.049,2024-02-05 06:50:00,2024-02-05 07:05:00,aFRR,POS_030,1968,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.619,2024-02-05 07:05:00,2024-02-05 07:20:00,aFRR,POS_031,1968,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.185,2024-02-05 07:20:00,2024-02-05 07:35:00,aFRR,POS_032,1968,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.622,2024-02-05 07:35:00,2024-02-05 07:50:00,aFRR,POS_033,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:39.072,2024-02-05 07:50:00,2024-02-05 08:05:00,aFRR,POS_034,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.672,2024-02-05 08:05:00,2024-02-05 08:20:00,aFRR,POS_035,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.310,2024-02-05 08:20:00,2024-02-05 08:35:00,aFRR,POS_036,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.092,2024-02-05 08:35:00,2024-02-05 08:50:00,aFRR,POS_037,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.603,2024-02-05 08:50:00,2024-02-05 09:05:00,aFRR,POS_038,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.358,2024-02-05 09:05:00,2024-02-05 09:20:00,aFRR,POS_039,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:56.150,2024-02-05 09:20:00,2024-02-05 09:35:00,aFRR,POS_040,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.376,2024-02-05 09:35:00,2024-02-05 09:50:00,aFRR,POS_041,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.560,2024-02-05 09:50:00,2024-02-05 10:05:00,aFRR,POS_042,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:19:00.013,2024-02-05 10:05:00,2024-02-05 10:20:00,aFRR,POS_043,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.228,2024-02-05 10:20:00,2024-02-05 10:35:00,aFRR,POS_044,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:53.587,2024-02-05 10:35:00,2024-02-05 10:50:00,aFRR,POS_045,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:46.634,2024-02-05 10:50:00,2024-02-05 11:05:00,aFRR,POS_046,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:39.072,2024-02-05 11:05:00,2024-02-05 11:20:00,aFRR,POS_047,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:18:39.072,2024-02-05 11:20:00,2024-02-05 11:35:00,aFRR,POS_048,2022,energy_afrr_demand
2024-02-05,2024-02-04 09:19:03.781,2024-02-05 11:35:00,2024-02-05 11:50:00,aFRR,POS_049,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.228,2024-02-05 11:50:00,2024-02-05 12:05:00,aFRR,POS_050,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:55.462,2024-02-05 12:05:00,2024-02-05 12:20:00,aFRR,POS_051,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:53.291,2024-02-05 12:20:00,2024-02-05 12:35:00,aFRR,POS_052,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:38.853,2024-02-05 12:35:00,2024-02-05 12:50:00,aFRR,POS_053,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.634,2024-02-05 12:50:00,2024-02-05 13:05:00,aFRR,POS_054,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:51.835,2024-02-05 13:05:00,2024-02-05 13:20:00,aFRR,POS_055,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:57.103,2024-02-05 13:20:00,2024-02-05 13:35:00,aFRR,POS_056,1925,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.312,2024-02-05 13:35:00,2024-02-05 13:50:00,aFRR,POS_057,1925,energy_afrr_demand
